sent,label
 人物二 人物一 信陵君 门客,1
 马车 行到 中途 人物一 忽然 提出 探访 一位 屠夫 朋友 人物二,1
 第二部 第十三 节 炙 啖 人物二 持觞 劝 人物一,1
 降轩 车问 抱关 指 信陵君 曾经 纡尊降贵 礼待 小吏 人物一 屠户 人物二 典故,1
 春秋战国 门 人物一 人物二 作者 周昙 唐朝 一部 诗词,1
 信陵君 人物一 安排 请 人物二,1
 人物一 朋友 人物二 信陵君 一锥 击杀 晋鄙 人物一 仍然 作 隐士,1
 颇知 人物二 尽礼 人物一,1
 人物一 信陵君 献计 并荐 力士 人物二,1
 第三个 四句 引入 信陵君 人物一 人物二 故事 进一步 歌颂 侠客 委婉 表达 抱负,1
 人物二 人物一 真 千秋万古 二 壮士 声名 煊赫 大梁 城,1
 唐 李白 侠客行 炙 啖 人物二 持觞 劝 人物一,1
 明 高启 大梁 行 已访 人物一 里 门 复迎 人物二 经屠市,1
 闲过 信陵 饮 脱剑膝 前横 炙 啖 人物二 持觞 劝 人物一,1
 二者 人物二 人物一 介绍 信陵君 告知 信陵君 人物二 杀死 晋鄙,1
 幸得 人物一 献计 无忌 魏王 宠妃 如姬 偷走 兵符 人物二 槌 杀 魏国大 晋鄙 强夺 兵权 终于 赵 楚 两国 联合 击退 秦军 保住 赵国,1
 两句 叙事 极略 紧接 二句 交代 人物一 身份 兼及 人物二 避 繁复 出人意外 地详,1
 最后 诗人 战国 时 窃 符救 赵夺 晋鄙 军 中 人物一 人物二 二 壮士 例 阐明 纵死 侠骨 香 不惭 世上 英 之旨,1
 人物一 提醒 说 屠夫 朋友 人物二 带上 以防万一,1
 想当年 人物一 人物二 信陵君 结交 脱剑 横膝 交相 欢饮,1
 人物一 魏无忌 说 拜访 屠夫 人物二 贤 能之士 了解 隐没 屠夫 中,1
 李太白 一首 侠客行 古风 写 战国时代 信陵君 门下 两位 任侠 人物一 人物二 故事,1
 人物一 信陵君 说 拜访 屠者 人物二 贤人 世人 知道 隐身 屠户 间,1
 回府 途中 人物一 下车 屠者 人物二 交谈 故意 信陵君 长时间 等待,1
 炙 啖 人物二 持觞 劝 人物一,1
 有人 认为 这首 侠客行 仅仅 写 人物二 人物一,1
 人物二 已击晋 人物一 尚 隐身,1
 第二部 第十三 节 炙 啖 人物二 持觞 劝 人物一,1
 人物二 人物一 信陵君 门客,1
 春秋战国 门 人物一 人物二 诗词 正文 屠肆 监门 一贱 微 信陵 交结 国人 非,1
